latitude,longitude,name,groupuni
52.3610525,4.948158817,T012,1
52.361766,4.948806,T018,1
52.361714,4.949936,T030,1
52.360679,4.951471,T061,1
52.359268,4.952588,T075,1
52.358883,4.949587,T089,1
52.35841,4.950218,T112,1
52.359825,4.952364,T140,1
52.361648,4.949988,T156,1
52.361193,4.948267,T169,1
52.361809,4.949641,T022,2a
52.361497,4.949752,T024,2a
52.359179,4.9522,T080,2a
52.359326,4.952038,T081,2a
52.35849,4.949219,T104,2a
52.358563,4.949287,T105,2a
52.361166,4.948338,T170,2a
52.359884,4.947896,T181,2a
52.359597,4.948084,T183,2a
52.35851,4.948228,T199,2a
52.359166,4.948757,T203,3b
52.359478,4.948727,T187,3b
52.361077,4.951539,T149,3b
52.358772,4.952522,T133,3b
52.358437,4.951674,T124,3b
52.358931,4.948384,T094,3b
52.360782,4.951335,T056,3b
52.360867,4.9505,T044,3b
52.36151,4.950674,T035,3b
52.361237,4.948663,T015,3b
52.358953,4.94813,T193,4c
52.361676,4.94836,T165,4c
52.360812,4.951506,T148,4c
52.35881,4.952493,T132,4c
52.35848,4.952014,T126,4c
52.35962,4.951198,T083,4c
52.359962,4.950906,T051,4c
52.360989,4.950587,T043,4c
52.361542,4.950316,T034,4c
52.361487,4.948942,T017,4c
