latitude,longitude,treeid,name,groupuni
52.361193,4.948267,169,T169,1
52.361648,4.949988,156,T156,1
52.359825,4.952364,140,T140,1
52.35841,4.950218,112,T112,1
52.358883,4.949587,89,T089,1
52.359268,4.952588,75,T075,1
52.360679,4.951471,61,T061,1
52.361714,4.949936,30,T030,1
52.361766,4.948806,18,T018,1
52.3610525,4.948158817,12,T012,1
52.358971,4.94807,194,T194,3
52.361293,4.951167,154,T154,3
52.360735,4.951497,145,T145,3
52.358727,4.952206,129,T129,3
52.358369,4.951124,119,T119,3
52.359477,4.950839,84,T084,3
52.360519,4.951298,49,T049,3
52.361316,4.951009,40,T040,3
52.360967,4.948796,28,T028,3
52.358678,4.947706,1,T001,3
52.358593,4.947768,198,T198,4
52.361542,4.948347,166,T166,4
52.360764,4.951597,147,T147,4
52.358794,4.952336,131,T131,4
52.358385,4.951331,121,T121,4
52.359004,4.949694,88,T088,4
52.360179,4.95113,52,T052,4
52.361071,4.950847,42,T042,4
52.361579,4.950311,33,T033,4
52.359251,4.94789,3,T003,4
52.35851,4.948228,199,T199,2a
52.359597,4.948084,183,T183,2a
52.359884,4.947896,181,T181,2a
52.361166,4.948338,170,T170,2a
52.358563,4.949287,105,T105,2a
52.35849,4.949219,104,T104,2a
52.359326,4.952038,81,T081,2a
52.359179,4.9522,80,T080,2a
52.361497,4.949752,24,T024,2a
52.361809,4.949641,22,T022,2a
