latitude,longitude,name,groupclust,,,,,,,,,
52.360147,4.948148,T007,3b,,,,,,,,,
52.360775,4.948261,T010,4c,,,,,,,,,
52.36108443,4.948144095,T012,1,,,,,,,,,
52.361766,4.948806,T018,1,,,,,,,,,
52.362055,4.949003,T019,4c,,,,,,,,,
52.361809,4.949641,T022,2a,,,,,,,,,
52.361497,4.949752,T024,2a,,,,,,,,,
52.361312,4.949752,T025,3b,,,,,,,,,
52.361714,4.949936,T030,1,,,,,,,,,
52.360679,4.951471,T061,1,,,,,,,,,
52.359546,4.952013,T068,3b,,,,,,,,,
52.359556,4.95273,T072,4c,,,,,,,,,
52.359268,4.952588,T075,1,,,,,,,,,
52.359132,4.952473,T077,3b,,,,,,,,,
52.359069,4.952401,T078,4c,,,,,,,,,
52.359179,4.9522,T080,2a,,,,,,,,,
52.359326,4.952038,T081,2a,,,,,,,,,
52.358883,4.949587,T089,1,,,,,,,,,
52.358615,4.948601,T100,4c,,,,,,,,,
52.35849,4.949219,T104,2a,,,,,,,,,
52.358563,4.949287,T105,2a,,,,,,,,,
52.358578,4.949506,T106,4c,,,,,,,,,
52.358714,4.949672,T109,3b,,,,,,,,, 
52.358542,4.950116,T111,4c,,,,,,,,,
52.35841,4.950218,T112,1,,,,,,,,,
52.358708,4.950337,T115,3b,,,,,,,,,
52.359783,4.952448,T139,3b,,,,,,,,,
52.359825,4.952364,T140,1,,,,,,,,,
52.359883,4.952165,T142,4c,,,,,,,,,
52.361648,4.949988,T156,1,,,,,,,,,
52.362187,4.948951,T160,4c,,,,,,,,,
52.361731,4.948731,T163,3b,,,,,,,,,
52.361193,4.948267,T169,1,,,,,,,,,
52.361166,4.948338,T170,2a,,,,,,,,,
52.360219,4.947998,T176,3b,,,,,,,,,
52.36009,4.948132,T177,4c,,,,,,,,,
52.360113,4.947982,T178,3b,,,,,,,,,
52.359884,4.947896,T181,2a,,,,,,,,,
52.359597,4.948084,T183,2a,,,,,,,, ,
52.35851,4.948228,T199,2a,,,,,,,,,
