latitude,longitude,name,groupclust
52.361111,4.94833,T012,1
52.361766,4.948806,T018,1
52.361714,4.949936,T030,1
52.360679,4.951471,T061,1
52.359268,4.952588,T075,1
52.358883,4.949587,T089,1
52.35841,4.950218,T112,1
52.359825,4.952364,T140,1
52.361648,4.949988,T156,1
52.361193,4.948267,T169,1
52.359792,4.952399,T138,2b
52.359501,4.952678,T073,2b
52.358571,4.950453,T114,2b
52.358577,4.949713,T108,2b
52.358618,4.948512,T099,2b
52.359574,4.948138,T184,2b
52.360033,4.94813,T006,2b
52.361613,4.950132,T155,2b
52.36174696,4.949770823,T031,2b
52.361961,4.949394,T021,2b
52.36111636,4.948320753,T013,3a
52.359888,4.951837,T063,3a
52.359156,4.952335,T079,3a
52.358475,4.948994,T103,3a
52.358557,4.949622,T107,3a
52.359819,4.952137,T141,3a
52.361788,4.949547,T157,3a
52.362084,4.948785,T161,3a
52.360331,4.948146,T175,3a
52.359878,4.947994,T180,3a
52.359609,4.952045,T067,4b
52.359709,4.951894,T065,4b
52.359509,4.952431,T070,4b
52.358872,4.949393,T090,4b
52.358753,4.94976,T110,4b
52.361196,4.948293,T168,4b
52.361104,4.948251,T011,4b
52.36059,4.948179,T008,4b
52.361687,4.950059,T032,4b
52.361606,4.949773,T023,4b
