latitude,longitude,name,groupclust
52.359741,4.948029,T005,4d
52.36112434,4.948342836,T012,1
52.3611004,4.948129374,T013,3a
52.361766,4.948806,T018,1
52.361809,4.949641,T022,2a
52.361606,4.949773,T023,4b
52.361497,4.949752,T024,2a
52.361714,4.949936,T030,1
52.361687,4.950059,T032,4b
52.360679,4.951471,T061,1
52.359888,4.951837,T063,3a
52.359709,4.951894,T065,4b
52.359556,4.95273,T072,4c
52.359268,4.952588,T075,1
52.359156,4.952335,T079,3a
52.359179,4.9522,T080,2a
52.359326,4.952038,T081,2a
52.358883,4.949587,T089,1
52.358872,4.949393,T090,4b
52.358534,4.948697,T101,4a
52.358475,4.948994,T103,3a
52.35849,4.949219,T104,2a
52.358563,4.949287,T105,2a
52.358557,4.949622,T107,3a
52.35841,4.950218,T112,1
52.359825,4.952364,T140,1
52.359819,4.952137,T141,3a
52.359883,4.952165,T142,4c
52.361648,4.949988,T156,1
52.361788,4.949547,T157,3a
52.362187,4.948951,T160,4c
52.362084,4.948785,T161,3a
52.361193,4.948267,T169,1
52.361166,4.948338,T170,2a
52.36078,4.948294,T173,4e
52.360331,4.948146,T175,3a
52.359878,4.947994,T180,3a
52.359884,4.947896,T181,2a
52.359597,4.948084,T183,2a
52.35851,4.948228,T199,2a
