latitude,longitude,name,groupclust
52.359825,4.952364,T140,1
52.359268,4.952588,T075,1
52.360679,4.951471,T061,1
52.35841,4.950218,T112,1
52.358883,4.949587,T089,1
52.361193,4.948267,T169,1
52.361111,4.94833,T012,1
52.361648,4.949988,T156,1
52.361714,4.949936,T030,1
52.361766,4.948806,T018,1
52.359597,4.9524,T069,4
52.35965,4.951925,T066,4
52.358534,4.948697,T101,4
52.358508,4.948859,T102,4
52.359848,4.947902,T182,4
52.360018,4.948134,T179,4
52.361003,4.948183,T172,4
52.361669,4.948809,T162,4
52.362085,4.949189,T158,4
52.362022,4.949242,T020,4
52.358384,4.951569,T081,2a
52.359179,4.9522,T080,2a
52.35851,4.948228,T199,2a
52.358563,4.949287,T105,2a
52.35849,4.949219,T104,2a
52.359597,4.948084,T183,2a
52.359884,4.947896,T181,2a
52.361166,4.948338,T170,2a
52.361497,4.949752,T024,2a
52.361809,4.949641,T022,2a
52.359819,4.952137,T141,3a
52.359156,4.952335,T079,3a
52.359888,4.951837,T063,3a
52.358557,4.949622,T107,3a
52.358475,4.948994,T103,3a
52.359878,4.947994,T180,3a
52.360331,4.948146,T175,3a
52.36121215,4.948173538,T013,3a
52.362084,4.948785,T161,3a
52.361788,4.949547,T157,3a
